epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,14.412,0.96772,2.3526,2.51465,1.24953,0,0.00333,1,0.95447,0.65989,0.00322,0.96721,0.89002,0.62388,0.72131,2.11807,3.22637,1.01693,0,0.00058,0.00058,0.00058
2,19.6744,0.80507,1.35624,1.42315,1.10686,0,0.97471,0.65574,0.94302,0.75476,0.99908,0.67213,0.96105,0.73766,0.84613,2.01728,2.64942,1.03011,0,0.00116832,0.00116832,0.00116832
3,24.5499,0.8714,1.31983,1.27452,1.1224,0,0.59941,0.57377,0.61281,0.43455,0.63428,0.67213,0.66347,0.41144,0.97298,10.5507,2.65738,1.16511,0,0.00174476,0.00174476,0.00174476
4,29.2551,0.87111,1.24959,1.15307,1.11531,0,0.01055,0.19672,0.00536,0.00422,0.01055,0.19672,0.00539,0.00403,2.20699,22.4459,10.193,2.86449,0,0.0019406,0.0019406,0.0019406
5,34.0218,0.82693,1.2544,0.98199,1.07523,0,0.87337,0.57377,0.69822,0.47703,0.87337,0.57377,0.70585,0.57072,1.22492,1.09109,2.47009,1.45772,0,0.0019208,0.0019208,0.0019208
6,38.7866,0.80044,1.17249,0.89709,1.06891,0,0.88744,0.4918,0.61842,0.49867,0.88744,0.4918,0.61865,0.47673,0.92821,2.52595,2.50503,1.21392,0,0.001901,0.001901,0.001901
7,43.738,0.88868,1.2225,0.89012,1.07841,0,0.93541,0.94963,0.97637,0.8166,0.95156,0.96603,0.98912,0.8432,0.74269,1.02384,1.72489,1.07786,0,0.0018812,0.0018812,0.0018812
8,49.093,0.75274,1.1963,0.80252,1.04901,0,0.97133,0.98361,0.98299,0.84299,0.98752,1,0.995,0.82688,0.66437,1.32505,1.02647,0.9053,0,0.0018614,0.0018614,0.0018614
9,53.9184,0.73679,1.12406,0.74768,1.05217,0,0.9797,0.98361,0.99337,0.86257,0.99614,1,0.995,0.87665,0.59073,0.88164,0.72169,0.87294,0,0.0018416,0.0018416,0.0018416
10,58.8332,0.69375,1.11182,0.6404,1.02343,0,0.97504,0.98361,0.98493,0.84902,0.99129,1,0.995,0.87919,0.61822,0.83395,0.784,0.86225,0,0.0018218,0.0018218,0.0018218
11,63.5583,0.6578,1.03807,0.60763,1.00707,0,0.97982,0.98361,0.9843,0.83062,0.99628,1,0.995,0.8369,0.60304,0.91034,0.78638,0.90829,0,0.001802,0.001802,0.001802
12,68.3929,0.65407,1.02708,0.57059,0.99935,0,0.99865,1,0.995,0.87006,0.99865,1,0.995,0.86709,0.60246,0.7803,0.6471,0.9027,0,0.0017822,0.0017822,0.0017822
13,73.0716,0.66914,1.03459,0.54825,1.01289,0,0.99705,1,0.995,0.87037,0.99705,1,0.995,0.8953,0.63489,0.75653,0.57713,0.86017,0,0.0017624,0.0017624,0.0017624
14,77.836,0.66806,1.06021,0.53369,0.9959,0,0.98197,0.98361,0.98613,0.89664,0.99833,1,0.995,0.89537,0.49753,0.7269,0.50318,0.80601,0,0.0017426,0.0017426,0.0017426
15,82.551,0.6627,1.007,0.54512,1.01693,0,0.99518,1,0.995,0.83637,0.99518,1,0.995,0.86154,0.67952,0.76492,0.71992,0.96344,0,0.0017228,0.0017228,0.0017228
16,87.2442,0.65249,0.92961,0.53252,1.00091,0,0.96343,0.98361,0.98955,0.83987,0.97963,1,0.99323,0.85674,0.6327,0.80947,0.57394,0.85971,0,0.001703,0.001703,0.001703
17,91.8905,0.67105,0.98756,0.51816,1.00269,0,0.9818,0.98361,0.98753,0.88339,0.99816,1,0.995,0.90329,0.5054,0.68477,0.40919,0.80551,0,0.0016832,0.0016832,0.0016832
18,96.6948,0.63766,1.02937,0.49817,0.98105,0,0.9818,0.98361,0.98671,0.9012,0.9818,0.98361,0.98369,0.90116,0.44844,0.78096,0.4273,0.83098,0,0.0016634,0.0016634,0.0016634
19,101.357,0.61719,0.89219,0.48193,0.98276,0,0.98227,0.98361,0.98418,0.89851,0.98227,0.98361,0.98418,0.90197,0.51939,0.91104,0.40356,0.84666,0,0.0016436,0.0016436,0.0016436
20,106.021,0.60426,0.96257,0.4906,0.98469,0,0.95729,0.98361,0.98201,0.87375,0.97324,1,0.99435,0.91074,0.57688,0.81962,0.52167,0.90732,0,0.0016238,0.0016238,0.0016238
21,110.66,0.62125,0.93245,0.50291,0.99541,0,0.98066,0.98361,0.98788,0.88662,0.99709,1,0.995,0.91266,0.50227,0.66851,0.4304,0.81252,0,0.001604,0.001604,0.001604
22,115.336,0.62515,0.88746,0.48663,0.98548,0,0.99229,1,0.995,0.90714,0.99229,1,0.995,0.90747,0.494,0.6792,0.57982,0.81503,0,0.0015842,0.0015842,0.0015842
23,120.04,0.58887,0.9089,0.4473,0.96153,0,0.98352,0.97812,0.98418,0.88609,1,0.99421,0.995,0.90347,0.49176,0.66884,0.49252,0.81762,0,0.0015644,0.0015644,0.0015644
24,124.738,0.58237,0.87587,0.44711,0.98247,0,0.99795,1,0.995,0.91392,0.99795,1,0.995,0.91827,0.45779,0.67271,0.37608,0.79776,0,0.0015446,0.0015446,0.0015446
25,129.55,0.60286,0.91214,0.43202,0.96222,0,0.97871,0.98361,0.98254,0.8826,0.99502,1,0.995,0.92011,0.49303,0.61546,0.44213,0.82024,0,0.0015248,0.0015248,0.0015248
26,134.268,0.56515,0.91304,0.41146,0.95543,0,0.99652,1,0.995,0.89736,0.99652,1,0.995,0.91408,0.59604,0.61799,0.61738,0.88365,0,0.001505,0.001505,0.001505
27,138.869,0.59724,0.83473,0.45362,0.98123,0,0.98246,0.98361,0.98418,0.89946,0.98246,0.98361,0.98418,0.91194,0.52065,0.70111,0.42121,0.86395,0,0.0014852,0.0014852,0.0014852
28,143.542,0.54587,0.89867,0.40366,0.95669,0,0.98254,0.98361,0.9853,0.90098,0.99892,1,0.995,0.91623,0.43608,0.70762,0.35648,0.7951,0,0.0014654,0.0014654,0.0014654
29,148.171,0.52548,0.8767,0.39176,0.94564,0,0.98204,0.98361,0.99253,0.90927,0.99847,1,0.995,0.92349,0.50508,0.63765,0.35356,0.80158,0,0.0014456,0.0014456,0.0014456
30,152.887,0.52165,0.86822,0.39355,0.94093,0,0.97582,0.98361,0.98254,0.89445,0.97582,0.98361,0.98254,0.92339,0.48692,0.78706,0.34736,0.84744,0,0.0014258,0.0014258,0.0014258
31,157.645,0.60627,0.91671,0.43635,0.97283,0,0.9701,0.98361,0.98329,0.88859,0.9701,0.98361,0.98329,0.8948,0.49487,1.00301,0.41656,0.82193,0,0.001406,0.001406,0.001406
32,162.306,0.5494,0.87633,0.40382,0.9568,0,0.98253,0.98361,0.98336,0.91456,0.98253,0.98361,0.98336,0.9085,0.45231,0.70347,0.3174,0.80521,0,0.0013862,0.0013862,0.0013862
33,166.934,0.51731,0.78468,0.38746,0.93471,0,0.98227,0.98361,0.98344,0.91201,0.98227,0.98361,0.98221,0.93615,0.44423,0.65583,0.28645,0.80507,0,0.0013664,0.0013664,0.0013664
34,171.607,0.52663,0.81013,0.38903,0.94446,0,0.98219,0.98361,0.98401,0.91707,0.98219,0.98361,0.98401,0.92755,0.445,0.66199,0.33215,0.81986,0,0.0013466,0.0013466,0.0013466
35,176.255,0.54089,0.81526,0.38192,0.93979,0,0.98247,0.98361,0.98376,0.90262,0.99884,1,0.995,0.91309,0.45947,0.61249,0.32584,0.80438,0,0.0013268,0.0013268,0.0013268
36,180.945,0.54269,0.75326,0.37842,0.94342,0,0.98075,0.98361,0.9831,0.91774,0.98075,0.98361,0.98287,0.91634,0.44883,0.72582,0.4298,0.80872,0,0.001307,0.001307,0.001307
37,185.6,0.56552,0.77573,0.40486,0.96257,0,0.97485,0.98361,0.98336,0.90055,0.97485,0.98361,0.98853,0.9093,0.45969,0.75829,0.31619,0.83044,0,0.0012872,0.0012872,0.0012872
38,190.389,0.53888,0.83809,0.41272,0.94781,0,0.98352,0.97823,0.99375,0.90119,1,0.99463,0.995,0.91452,0.46748,0.62149,0.32082,0.7935,0,0.0012674,0.0012674,0.0012674
39,195.025,0.49536,0.78524,0.35762,0.93245,0,0.98255,0.98361,0.98955,0.91382,0.98255,0.98361,0.98955,0.93172,0.45884,0.62258,0.31255,0.7909,0,0.0012476,0.0012476,0.0012476
40,199.656,0.47241,0.74395,0.34853,0.92763,0,0.98272,0.98361,0.99309,0.91854,0.99912,1,0.995,0.93217,0.43514,0.60911,0.27887,0.76938,0,0.0012278,0.0012278,0.0012278
41,204.304,0.49467,0.68397,0.33768,0.93611,0,0.9826,0.98361,0.99277,0.92074,0.99898,1,0.995,0.92738,0.42452,0.6673,0.27962,0.78261,0,0.001208,0.001208,0.001208
42,208.988,0.51709,0.85925,0.35532,0.94501,0,0.9724,0.98361,0.98385,0.90261,0.9724,0.98361,0.98385,0.92155,0.43411,0.67317,0.31229,0.80329,0,0.0011882,0.0011882,0.0011882
43,213.653,0.51027,0.80993,0.36197,0.93959,0,0.98019,0.98361,0.98505,0.91912,0.98019,0.98361,0.98505,0.92752,0.4385,0.63371,0.30283,0.80608,0,0.0011684,0.0011684,0.0011684
44,218.326,0.46733,0.72698,0.34164,0.92583,0,0.98264,0.98361,0.98359,0.9223,0.98264,0.98361,0.98359,0.91429,0.40571,0.78342,0.26547,0.78563,0,0.0011486,0.0011486,0.0011486
45,223.164,0.44754,0.73631,0.32448,0.9211,0,0.98236,0.98361,0.98441,0.91232,0.98236,0.98361,0.98441,0.92066,0.41415,0.65181,0.28209,0.79085,0,0.0011288,0.0011288,0.0011288
46,227.855,0.50591,0.81236,0.34275,0.93932,0,0.98243,0.98361,0.98418,0.9056,0.9988,1,0.995,0.92038,0.44835,0.62334,0.27461,0.77902,0,0.001109,0.001109,0.001109
47,232.496,0.47085,0.76357,0.33397,0.92748,0,0.98253,0.98361,0.98369,0.93549,0.9989,1,0.995,0.92857,0.38131,0.68511,0.26381,0.76978,0,0.0010892,0.0010892,0.0010892
48,237.183,0.48006,0.74792,0.35002,0.93125,0,0.98145,0.98361,0.98418,0.92919,0.99786,1,0.995,0.93557,0.41806,0.65028,0.28384,0.78649,0,0.0010694,0.0010694,0.0010694
49,241.832,0.48488,0.78879,0.34331,0.93257,0,0.98127,0.98361,0.98369,0.93079,0.99763,1,0.995,0.92951,0.42799,0.62012,0.28953,0.80263,0,0.0010496,0.0010496,0.0010496
50,246.508,0.45869,0.74995,0.32134,0.92902,0,0.98049,0.98361,0.98156,0.91906,0.99684,1,0.995,0.91903,0.42606,0.69955,0.2772,0.78631,0,0.0010298,0.0010298,0.0010298
51,251.127,0.47161,0.78929,0.35239,0.93613,0,0.98251,0.98361,0.98369,0.92197,0.99888,1,0.995,0.92495,0.41371,0.64107,0.27888,0.77419,0,0.00101,0.00101,0.00101
52,255.901,0.44625,0.70087,0.32282,0.92233,0,0.98252,0.98361,0.98369,0.92505,0.99889,1,0.995,0.92198,0.42321,0.6676,0.27643,0.776,0,0.0009902,0.0009902,0.0009902
53,260.521,0.46032,0.75253,0.32593,0.92502,0,0.9816,0.98361,0.98369,0.93182,0.99802,1,0.995,0.92722,0.37273,0.63754,0.24862,0.75986,0,0.0009704,0.0009704,0.0009704
54,265.198,0.46255,0.72123,0.32679,0.91478,0,0.98176,0.98361,0.98451,0.92502,0.98176,0.98361,0.98451,0.93318,0.38981,0.70429,0.23423,0.79076,0,0.0009506,0.0009506,0.0009506
55,269.834,0.44834,0.69577,0.30556,0.91433,0,0.98249,0.98361,0.99324,0.92396,0.99887,1,0.995,0.92425,0.39883,0.56465,0.26556,0.76696,0,0.0009308,0.0009308,0.0009308
56,274.489,0.44412,0.74109,0.32167,0.90711,0,0.98215,0.98361,0.98369,0.93042,0.98215,0.98361,0.98369,0.92761,0.39007,0.62172,0.24694,0.77681,0,0.000911,0.000911,0.000911
57,279.115,0.43853,0.67536,0.31019,0.91612,0,0.98269,0.98361,0.98418,0.92432,0.98269,0.98361,0.98418,0.92976,0.41117,0.62985,0.23119,0.78223,0,0.0008912,0.0008912,0.0008912
58,283.922,0.43953,0.65741,0.29747,0.91867,0,0.98283,0.98361,0.985,0.93123,0.98283,0.98361,0.985,0.93192,0.3836,0.6815,0.2246,0.78133,0,0.0008714,0.0008714,0.0008714
59,288.557,0.44625,0.71405,0.30279,0.9238,0,0.98269,0.98361,0.98467,0.92948,0.99906,1,0.995,0.9251,0.40246,0.66847,0.23603,0.77925,0,0.0008516,0.0008516,0.0008516
60,293.235,0.44596,0.76664,0.29922,0.92574,0,0.98264,0.98361,0.98418,0.92636,0.99902,1,0.995,0.92368,0.38894,0.64923,0.2519,0.77189,0,0.0008318,0.0008318,0.0008318
61,297.874,0.43651,0.75686,0.29475,0.903,0,0.98261,0.98361,0.98451,0.93271,0.98261,0.98361,0.98451,0.93413,0.37859,0.66431,0.23074,0.77963,0,0.000812,0.000812,0.000812
62,302.574,0.43474,0.66994,0.30025,0.91565,0,0.98265,0.98361,0.98254,0.92685,0.99903,1,0.995,0.92944,0.40766,0.66218,0.25881,0.78157,0,0.0007922,0.0007922,0.0007922
63,307.231,0.41837,0.62521,0.29048,0.90812,0,0.98268,0.98361,0.98221,0.93507,0.99905,1,0.995,0.92992,0.36227,0.67469,0.2294,0.77043,0,0.0007724,0.0007724,0.0007724
64,312.028,0.40477,0.6846,0.28382,0.91045,0,0.98268,0.98361,0.98336,0.93245,0.98268,0.98361,0.98336,0.93212,0.36595,0.66779,0.2219,0.7707,0,0.0007526,0.0007526,0.0007526
65,316.659,0.41419,0.63484,0.28716,0.90534,0,0.98255,0.98361,0.98418,0.93494,0.98255,0.98361,0.98418,0.94198,0.35223,0.64445,0.23365,0.76232,0,0.0007328,0.0007328,0.0007328
66,321.349,0.37566,0.664,0.26836,0.90237,0,0.9826,0.98361,0.98418,0.92793,0.99898,1,0.995,0.93603,0.39385,0.64537,0.2374,0.76711,0,0.000713,0.000713,0.000713
67,325.984,0.40491,0.65511,0.27945,0.90212,0,0.98237,0.98361,0.98418,0.93232,0.99874,1,0.995,0.92998,0.36078,0.64834,0.24996,0.75111,0,0.0006932,0.0006932,0.0006932
68,330.673,0.41911,0.64335,0.28589,0.89537,0,0.98248,0.98361,0.98336,0.94463,0.98248,0.98361,0.98336,0.93021,0.32051,0.72652,0.22157,0.75498,0,0.0006734,0.0006734,0.0006734
69,335.303,0.40352,0.68097,0.28374,0.8956,0,0.98209,0.98361,0.98418,0.93969,0.98209,0.98361,0.98418,0.92946,0.33046,0.77714,0.21142,0.76699,0,0.0006536,0.0006536,0.0006536
70,340.079,0.40471,0.65026,0.27922,0.91019,0,0.98245,0.98361,0.98385,0.94152,0.99882,1,0.995,0.93906,0.3573,0.60899,0.22716,0.76421,0,0.0006338,0.0006338,0.0006338
71,344.715,0.41625,0.64396,0.28345,0.90609,0,0.98227,0.98361,0.98385,0.93917,0.99865,1,0.995,0.93404,0.3331,0.6632,0.22497,0.7533,0,0.000614,0.000614,0.000614
72,349.375,0.38651,0.67441,0.26775,0.90353,0,0.98257,0.98361,0.98418,0.94216,0.98257,0.98361,0.98418,0.93147,0.32693,0.73725,0.21557,0.75674,0,0.0005942,0.0005942,0.0005942
73,354.043,0.37639,0.57866,0.26562,0.89452,0,0.97902,0.98361,0.98385,0.93784,0.99534,1,0.995,0.93525,0.35143,0.68462,0.2086,0.77019,0,0.0005744,0.0005744,0.0005744
74,358.872,0.38001,0.65054,0.26903,0.89364,0,0.96667,0.98361,0.98335,0.93205,0.98278,1,0.99484,0.93273,0.34953,0.6306,0.21481,0.75901,0,0.0005546,0.0005546,0.0005546
75,363.505,0.40268,0.74475,0.28754,0.90443,0,0.98255,0.98361,0.98385,0.92964,0.99893,1,0.995,0.93643,0.36558,0.6379,0.22749,0.76319,0,0.0005348,0.0005348,0.0005348
76,368.196,0.38646,0.71099,0.26597,0.90269,0,0.98248,0.98361,0.98385,0.94241,0.99885,1,0.995,0.93745,0.35569,0.63412,0.21442,0.77255,0,0.000515,0.000515,0.000515
