frame,center_x,center_y,disp_x,disp_y,match_score
0,353,374,0,0,0.9999975562095642
1,356,372,3,-2,0.9897055625915527
2,356,373,3,-1,0.9914230108261108
3,357,375,4,1,0.9871839880943298
4,359,377,6,3,0.9877610206604004
5,363,379,10,5,0.9885504841804504
6,365,379,12,5,0.9873378872871399
7,367,378,14,4,0.9834424257278442
8,371,379,18,5,0.9797916412353516
9,370,380,17,6,0.977933943271637
10,372,383,19,9,0.9754460453987122
11,374,386,21,12,0.9774215817451477
12,377,389,24,15,0.9734253883361816
13,378,391,25,17,0.972793698310852
14,377,392,24,18,0.9740597605705261
15,375,394,22,20,0.9775440096855164
16,372,395,19,21,0.980661928653717
17,372,394,19,20,0.9809700846672058
18,376,392,23,18,0.9773414731025696
19,377,390,24,16,0.9757183790206909
20,378,387,25,13,0.9767897725105286
21,378,386,25,12,0.9726688265800476
22,378,386,25,12,0.9704172015190125
23,377,386,24,12,0.968625009059906
24,378,387,25,13,0.9681199789047241
25,379,385,26,11,0.9655019044876099
26,378,383,25,9,0.9648622870445251
27,378,380,25,6,0.9635434746742249
28,379,378,26,4,0.9590757489204407
29,376,382,23,8,0.9693603515625
30,375,387,22,13,0.973395586013794
31,375,389,22,15,0.9735844731330872
32,375,390,22,16,0.973400354385376
33,374,391,21,17,0.9723269939422607
34,375,390,22,16,0.9778205752372742
35,381,390,28,16,0.9706236124038696
36,390,390,37,16,0.962202787399292
37,394,388,41,14,0.9566251039505005
38,400,386,47,12,0.9403638243675232
39,406,382,53,8,0.9333222508430481
40,410,379,57,5,0.915515124797821
41,412,379,59,5,0.9110655188560486
42,411,380,58,6,0.9088427424430847
43,408,381,55,7,0.9092952013015747
44,408,382,55,8,0.9100559949874878
45,405,382,52,8,0.913205623626709
46,400,380,47,6,0.9185734391212463
47,398,379,45,5,0.9161994457244873
48,399,378,46,4,0.9141014814376831
49,398,378,45,4,0.9153008460998535
50,398,379,45,5,0.916428804397583
51,397,380,44,6,0.9153232574462891
52,400,381,47,7,0.9141934514045715
53,400,381,47,7,0.9140921831130981
54,401,381,48,7,0.9091011881828308
55,401,380,48,6,0.9078620076179504
56,402,379,49,5,0.9066870212554932
57,403,379,50,5,0.9049219489097595
58,399,379,46,5,0.9084052443504333
59,391,379,38,5,0.9197071194648743
60,389,378,36,4,0.9203172922134399
61,389,377,36,3,0.9193388819694519
62,387,375,34,1,0.919636070728302
63,386,373,33,-1,0.9221425652503967
64,389,371,36,-3,0.9218754172325134
65,392,368,39,-6,0.9126079082489014
66,392,366,39,-8,0.9069089293479919
67,394,365,41,-9,0.9076447486877441
68,396,364,43,-10,0.9009179472923279
69,396,365,43,-9,0.9010146856307983
70,400,368,47,-6,0.8985419273376465
71,403,371,50,-3,0.898518979549408
72,404,373,51,-1,0.8967467546463013
73,405,374,52,0,0.896157443523407
74,404,373,51,-1,0.8938443660736084
75,403,372,50,-2,0.89439857006073
76,403,370,50,-4,0.8962884545326233
77,405,368,52,-6,0.8957991003990173
78,406,366,53,-8,0.8940755128860474
79,410,365,57,-9,0.8945068120956421
80,410,362,57,-12,0.8961642980575562
81,412,359,59,-15,0.8962888121604919
82,412,357,59,-17,0.8924956321716309
83,409,355,56,-19,0.8913753628730774
84,409,355,56,-19,0.890307605266571
85,409,355,56,-19,0.8896600604057312
86,410,356,57,-18,0.889805018901825
87,407,357,54,-17,0.8910161256790161
88,405,360,52,-14,0.892379879951477
89,406,362,53,-12,0.8913854956626892
90,406,361,53,-13,0.8897250890731812
91,406,361,53,-13,0.8902513384819031
92,403,361,50,-13,0.8900079131126404
93,403,361,50,-13,0.8892371654510498
94,402,359,49,-15,0.8878093361854553
95,398,358,45,-16,0.8895260095596313
96,399,358,46,-16,0.8890640139579773
97,398,360,45,-14,0.8900682330131531
98,399,361,46,-13,0.8919395208358765
99,402,363,49,-11,0.8915387988090515
100,403,366,50,-8,0.892928957939148
101,404,367,51,-7,0.8930359482765198
102,404,367,51,-7,0.8917868733406067
103,402,364,49,-10,0.8984063267707825
104,408,362,55,-12,0.9058949947357178
105,417,361,64,-13,0.8991915583610535
106,421,363,68,-11,0.8921806812286377
107,421,367,68,-7,0.8946943283081055
108,420,371,67,-3,0.8934967517852783
109,416,372,63,-2,0.8928133845329285
110,412,373,59,-1,0.8905140161514282
111,412,374,59,0,0.8891810774803162
112,413,375,60,1,0.8858613967895508
113,416,376,63,2,0.8850545883178711
114,417,377,64,3,0.8845601677894592
115,420,378,67,4,0.8841102123260498
116,420,379,67,5,0.8836140036582947
117,418,380,65,6,0.8853797912597656
118,418,380,65,6,0.8838998079299927
119,417,381,64,7,0.884148120880127
120,415,382,62,8,0.8921510577201843
121,413,382,60,8,0.8896077275276184
122,412,382,59,8,0.8908262848854065
123,410,382,57,8,0.895671546459198
124,408,382,55,8,0.8949165344238281
125,406,382,53,8,0.8947922587394714
mean,395.5,375.3888888888889,,,
std,16.79746296036285,10.250801147337587,,,
