frame,center_x,center_y,disp_x,disp_y,match_score
0,326,356,0,0,0.9999996423721313
1,329,354,3,-2,0.993689239025116
2,329,355,3,-1,0.9939960837364197
3,330,357,4,1,0.9932020902633667
4,332,359,6,3,0.9933130741119385
5,336,361,10,5,0.9936323761940002
6,338,361,12,5,0.9931017160415649
7,341,361,15,5,0.9915524125099182
8,344,361,18,5,0.9889537692070007
9,343,363,17,7,0.9888812303543091
10,345,366,19,10,0.9873949289321899
11,348,369,22,13,0.986458957195282
12,350,371,24,15,0.9837605953216553
13,351,373,25,17,0.9839321970939636
14,350,375,24,19,0.9855844378471375
15,347,376,21,20,0.9879184365272522
16,345,377,19,21,0.9872785806655884
17,345,376,19,20,0.9884652495384216
18,349,374,23,18,0.9868730902671814
19,350,372,24,16,0.9868149757385254
20,351,369,25,13,0.9876490235328674
21,351,368,25,12,0.9845491051673889
22,351,368,25,12,0.9829211235046387
23,350,368,24,12,0.9816985130310059
24,350,368,24,12,0.9817461967468262
25,352,367,26,11,0.9793575406074524
26,351,365,25,9,0.9796746373176575
27,350,362,24,6,0.9781504273414612
28,352,360,26,4,0.9746207594871521
29,349,364,23,8,0.9825158715248108
30,347,368,21,12,0.986315131187439
31,348,372,22,16,0.9855552911758423
32,348,373,22,17,0.9855266213417053
33,347,373,21,17,0.9862063527107239
34,348,372,22,16,0.9894095063209534
35,354,372,28,16,0.9876818656921387
36,362,372,36,16,0.9842329621315002
37,367,370,41,14,0.9821916818618774
38,373,368,47,12,0.9775992035865784
39,378,364,52,8,0.9747892618179321
40,383,361,57,5,0.9673213362693787
41,384,360,58,4,0.9646209478378296
42,384,362,58,6,0.9648690223693848
43,381,363,55,7,0.9656801819801331
44,380,364,54,8,0.9646525382995605
45,377,363,51,7,0.9638814926147461
46,372,361,46,5,0.9651869535446167
47,370,361,44,5,0.9644597768783569
48,371,360,45,4,0.9634759426116943
49,370,360,44,4,0.9624370336532593
50,369,360,43,4,0.9627954363822937
51,370,362,44,6,0.9640874862670898
52,372,363,46,7,0.964677095413208
53,372,363,46,7,0.964134693145752
54,374,363,48,7,0.9630382061004639
55,373,362,47,6,0.963040828704834
56,374,361,48,5,0.9632868766784668
57,375,360,49,4,0.962430477142334
58,371,361,45,5,0.9635179042816162
59,363,361,37,5,0.9674071669578552
60,361,360,35,4,0.9674330353736877
61,361,359,35,3,0.9669773578643799
62,359,357,33,1,0.9672164916992188
63,358,355,32,-1,0.9691051840782166
64,362,353,36,-3,0.9684233069419861
65,364,349,38,-7,0.9639390707015991
66,365,348,39,-8,0.9621767401695251
67,366,346,40,-10,0.9626957178115845
68,367,345,41,-11,0.9573057889938354
69,368,347,42,-9,0.9583830237388611
70,372,349,46,-7,0.9589291214942932
71,375,352,49,-4,0.9590798616409302
72,378,355,52,-1,0.9584388732910156
73,377,355,51,-1,0.9574576020240784
74,377,355,51,-1,0.9562686085700989
75,376,353,50,-3,0.9569329619407654
76,377,352,51,-4,0.9572674036026001
77,379,350,53,-6,0.9560407400131226
78,381,348,55,-8,0.9541877508163452
79,384,346,58,-10,0.9534201622009277
80,384,342,58,-14,0.952782928943634
81,385,338,59,-18,0.9514551162719727
82,384,335,58,-21,0.9491197466850281
83,381,334,55,-22,0.9479133486747742
84,381,334,55,-22,0.9472084045410156
85,381,333,55,-23,0.9462891221046448
86,381,334,55,-22,0.9472145438194275
87,378,335,52,-21,0.9476919770240784
88,376,339,50,-17,0.9502129554748535
89,377,340,51,-16,0.9490005373954773
90,378,340,52,-16,0.9477781653404236
91,377,340,51,-16,0.9484446048736572
92,374,339,48,-17,0.9472105503082275
93,374,339,48,-17,0.9467747807502747
94,372,337,46,-19,0.9469953775405884
95,369,336,43,-20,0.9468145370483398
96,369,337,43,-19,0.9475017786026001
97,368,338,42,-18,0.9484071135520935
98,370,340,44,-16,0.950014591217041
99,375,343,49,-13,0.9502466917037964
100,376,346,50,-10,0.9523626565933228
101,377,348,51,-8,0.9527426958084106
102,378,348,52,-8,0.9513207674026489
103,374,343,48,-13,0.9533048272132874
104,379,340,53,-16,0.9542670845985413
105,388,339,62,-17,0.9502137899398804
106,392,341,66,-15,0.9480436444282532
107,392,345,66,-11,0.9504940509796143
108,391,349,65,-7,0.9517426490783691
109,388,351,62,-5,0.9514635801315308
110,383,351,57,-5,0.951054573059082
111,382,352,56,-4,0.9498106837272644
112,385,354,59,-2,0.9491087794303894
113,387,354,61,-2,0.9495763778686523
114,389,356,63,0,0.9488561153411865
115,391,357,65,1,0.9483640789985657
116,390,357,64,1,0.9492213129997253
117,389,359,63,3,0.9494280219078064
118,389,359,63,3,0.9491015672683716
119,389,360,63,4,0.9502135515213013
120,387,362,61,6,0.9538178443908691
121,386,363,60,7,0.9531126022338867
122,384,362,58,6,0.9533131718635559
123,382,363,56,7,0.955397367477417
124,380,364,54,8,0.9565714001655579
125,378,363,52,7,0.9567715525627136
mean,367.76984126984127,356.22222222222223,,,
std,16.375147011778076,11.389837358879555,,,
